name,price,approximation,market_ID
Greisinger Berner Würstel bravčové párky so syrom obalené v plátkoch slaniny 0300 kg,4.49 €,0,1
Cvikla Praná 1kg,1.69 €,0,1
Zázvor voľný kus,6.90 €,0,1
Reďkovka červená zväzok,0.49 €,0,1
Kaleráb s vňaťou kus,0.99 €,0,1
BILLA Jadrá kešu orechov 200g,2.99 €,0,1
BILLA Jadrá vlašských orechov 200g,2.99 €,0,1
BILLA Jadrá lieskových orechov 200g,3.49 €,0,1
BILLA Jadrá sladkých mandlí 200g,2.99 €,0,1
Zmes brusnic a pražených lieskovcov 200g,2.59 €,0,1
Ovocno Orechová zmes 200g,2.29 €,0,1
Tekvicové jadrá pražené solené nel.150g,1.49 €,0,1
BILLA Fit zmes 150g,3.79 €,0,1
BILLA Hrozienka 500g,2.69 €,0,1
Sézam 150g,1.09 €,0,1
Tina Chia semienka 150g,2.49 €,0,1
Slivky sušené vykôstkované 300g,3.09 €,0,1
BILLA sušené slivky odkôskované 500g,4.99 €,0,1
Passion brusnice 125g,1.49 €,0,1
Ananás plátky 250g,1.69 €,0,1
Brusnice mix 150g,1.79 €,0,1
Naše Gaštany pečené lúpané 100 g,1.99 €,0,1
Kokos chips natural 200g,1.39 €,0,1
BILLA Kráľovská klobása 580g,6.49 €,0,1
BILLA Jemná údená klobása 370g,4.99 €,0,1
BILLA Premium Mangalica klobása pár 280g,4.19 €,0,1
Kmotr Kmotrova klobása trio 75 g,1.99 €,0,1
BILLA čabajská klobása 250g,4.39 €,0,1
KARPATSKÁ KLOBÁSA 450G BERTO,7.49 €,0,1
Naša Slovenská Gombasecká klobása 230g,3.15 €,0,1
Greisinger Snack klobásky 0080 kg,2.85 €,0,1
Morčacie Mini klobásky 70g,1.45 €,0,1
Stastnik Mini klobásky á la kabanos 70 g,1.49 €,0,1
Greisinger Snack ostré bravčové klobásky 0080 kg,2.69 €,0,1
Pick Pickstick Snack lahôdková klobáska 60 g,2.09 €,0,1
Pick Pickstick Snack štipľavá klobáska 60 g,2.09 €,0,1
Clever Špekačky 600g,3.99 €,0,1
BILLA Špekačky  400g,4.29 €,0,1
PRETO Ryba Žilina Treska Exklusiv 200 g,2.59 €,0,1
PRETO Ryba Žilina Treska Exklusiv 140 g,0.85 €,0,1
Ryba Košice Treska treskoslovenská v majonéze 140 g,1.59 €,0,1
PRETO Ryba Žilina Treska Exklusiv 400 g,4.49 €,0,1
Ryba More Zdravia Treska v majonéze Exklusiv 140 g,1.59 €,0,1
Ryba Žilina Preto treska 140g,0.89 €,0,1
